"Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"Unspecified","CAULFIELD","3162","-37.87230300","145.02319600","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.91319407","145.13569410","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16911688","145.14867950","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78640000","144.94503300","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16602650","145.10480350","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92447709","145.11963950","Metro East","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88691100","145.02313500","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15769800","145.13087300","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16434788","145.13790290","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.89472800","145.02068600","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14458800","145.13818600","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92746700","145.11899400","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92731400","145.11902100","Metro East","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88161280","145.03513520","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92446430","145.12109600","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.03129412","145.34420790","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92811912","145.11943190","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14075300","145.12337400","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14397900","145.12442200","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03747317","145.33682741","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13433230","145.17682060","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14982600","145.12683800","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16107500","145.12730200","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16165930","145.13787360","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.17083600","145.16160900","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14017000","145.17510200","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.02814000","145.36383200","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15129500","145.14434300","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.95414530","145.12079490","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15129500","145.14434300","Metro South","Not allowed"
